index outport cost SuccessFlag
950 -1.0 0.0 -1.0
951 17.0 2.0 1.0
952 0.0 2.0 1.0
953 0.0 2.0 1.0
954 -1.0 0.0 -1.0
955 -1.0 0.0 -1.0
956 25.0 2.0 1.0
957 18.0 2.0 1.0
958 -1.0 0.0 -1.0
959 15.0 4.0 1.0
960 18.0 4.0 1.0
961 25.0 2.0 1.0
962 -1.0 0.0 -1.0
963 8.0 2.0 1.0
964 -1.0 0.0 -1.0
965 17.0 4.0 1.0
966 0.0 2.0 1.0
967 -1.0 0.0 -1.0
968 18.0 3.0 1.0
969 18.0 3.0 1.0
970 -1.0 0.0 -1.0
971 0.0 2.0 1.0
972 -1.0 0.0 -1.0
973 -1.0 0.0 -1.0
974 8.0 2.0 1.0
975 9.0 1.0 1.0
976 18.0 3.0 1.0
977 -1.0 0.0 -1.0
978 25.0 4.0 1.0
979 0.0 2.0 1.0
980 26.0 4.0 1.0
981 -1.0 0.0 -1.0
982 -1.0 0.0 -1.0
983 22.0 4.0 1.0
984 -1.0 0.0 -1.0
985 -1.0 0.0 -1.0
986 -1.0 0.0 -1.0
987 22.0 4.0 1.0
988 18.0 3.0 1.0
989 -1.0 0.0 -1.0
990 -1.0 0.0 -1.0
991 -1.0 0.0 -1.0
992 -1.0 0.0 -1.0
993 0.0 2.0 1.0
994 -1.0 0.0 -1.0
995 -1.0 0.0 -1.0
996 25.0 2.0 1.0
997 0.0 2.0 1.0
998 15.0 4.0 1.0
999 -1.0 0.0 -1.0
1000 -1.0 0.0 -1.0
1001 8.0 2.0 1.0
1002 -1.0 0.0 -1.0
1003 22.0 2.0 1.0
1004 -1.0 0.0 -1.0
1005 -1.0 0.0 -1.0
1006 -1.0 0.0 -1.0
1007 -1.0 0.0 -1.0
1008 0.0 2.0 1.0
1009 -1.0 0.0 -1.0
1010 0.0 2.0 1.0
1011 22.0 4.0 1.0
1012 -1.0 0.0 -1.0
1013 -1.0 0.0 -1.0
1014 -1.0 0.0 -1.0
1015 23.0 3.0 1.0
1016 0.0 2.0 1.0
1017 17.0 2.0 1.0
1018 -1.0 0.0 -1.0
1019 0.0 2.0 1.0
1020 25.0 2.0 1.0
1021 25.0 2.0 1.0
1022 -1.0 0.0 -1.0
1023 -1.0 0.0 -1.0
1024 26.0 4.0 1.0
1025 9.0 1.0 1.0
1026 0.0 2.0 1.0
1027 23.0 2.0 1.0
1028 -1.0 0.0 -1.0
1029 10.0 2.0 1.0
1030 10.0 3.0 1.0
1031 -1.0 0.0 -1.0
1032 -1.0 0.0 -1.0
1033 12.0 4.0 1.0
1034 22.0 4.0 1.0
1035 15.0 2.0 1.0
1036 0.0 2.0 1.0
1037 -1.0 0.0 -1.0
1038 -1.0 0.0 -1.0
1039 -1.0 0.0 -1.0
1040 0.0 2.0 1.0
1041 0.0 2.0 1.0
1042 -1.0 0.0 -1.0
1043 0.0 2.0 1.0
1044 17.0 2.0 1.0
1045 26.0 2.0 1.0
1046 -1.0 0.0 -1.0
1047 8.0 4.0 1.0
1048 -1.0 0.0 -1.0
1049 -1.0 0.0 -1.0
1050 -1.0 0.0 -1.0
1051 -1.0 0.0 -1.0
1052 -1.0 0.0 -1.0
1053 -1.0 0.0 -1.0
1054 0.0 2.0 1.0
1055 -1.0 0.0 -1.0
1056 26.0 2.0 1.0
1057 0.0 2.0 1.0
1058 22.0 2.0 1.0
1059 0.0 2.0 1.0
1060 -1.0 0.0 -1.0
1061 -1.0 0.0 -1.0
1062 22.0 4.0 1.0
1063 -1.0 0.0 -1.0
1064 9.0 1.0 1.0
1065 -1.0 0.0 -1.0
1066 24.0 4.0 1.0
1067 8.0 2.0 1.0
1068 -1.0 0.0 -1.0
1069 23.0 2.0 1.0
1070 24.0 4.0 1.0
1071 10.0 3.0 1.0
1072 -1.0 0.0 -1.0
1073 25.0 2.0 1.0
1074 -1.0 0.0 -1.0
1075 22.0 2.0 1.0
1076 18.0 2.0 1.0
1077 -1.0 0.0 -1.0
1078 -1.0 0.0 -1.0
1079 0.0 2.0 1.0
1080 0.0 2.0 1.0
1081 -1.0 0.0 -1.0
1082 -1.0 0.0 -1.0
1083 0.0 2.0 1.0
1084 9.0 1.0 1.0
1085 0.0 2.0 1.0
1086 -1.0 0.0 -1.0
1087 23.0 4.0 1.0
1088 22.0 4.0 1.0
1089 26.0 4.0 1.0
1090 -1.0 0.0 -1.0
1091 0.0 2.0 1.0
1092 -1.0 0.0 -1.0
1093 11.0 4.0 1.0
1094 -1.0 0.0 -1.0
1095 10.0 3.0 1.0
1096 -1.0 0.0 -1.0
1097 0.0 2.0 1.0
1098 -1.0 0.0 -1.0
1099 18.0 3.0 1.0
1100 18.0 3.0 1.0
1101 -1.0 0.0 -1.0
1102 -1.0 0.0 -1.0
1103 -1.0 0.0 -1.0
1104 8.0 2.0 1.0
1105 10.0 2.0 1.0
1106 -1.0 0.0 -1.0
1107 -1.0 0.0 -1.0
1108 0.0 2.0 1.0
1109 8.0 2.0 1.0
1110 -1.0 0.0 -1.0
1111 23.0 3.0 1.0
1112 0.0 2.0 1.0
1113 -1.0 0.0 -1.0
1114 0.0 2.0 1.0
1115 22.0 2.0 1.0
1116 16.0 4.0 1.0
1117 26.0 4.0 1.0
1118 23.0 2.0 1.0
1119 23.0 3.0 1.0
1120 10.0 3.0 1.0
1121 23.0 3.0 1.0
1122 15.0 2.0 1.0
1123 -1.0 0.0 -1.0
1124 -1.0 0.0 -1.0
1125 22.0 4.0 1.0
1126 -1.0 0.0 -1.0
1127 -1.0 0.0 -1.0
1128 23.0 2.0 1.0
1129 15.0 2.0 1.0
1130 -1.0 0.0 -1.0
1131 0.0 2.0 1.0
1132 26.0 4.0 1.0
1133 -1.0 0.0 -1.0
1134 16.0 4.0 1.0
1135 -1.0 0.0 -1.0
1136 9.0 1.0 1.0
1137 15.0 4.0 1.0
1138 18.0 4.0 1.0
1139 23.0 3.0 1.0
1140 -1.0 0.0 -1.0
1141 17.0 2.0 1.0
1142 23.0 3.0 1.0
1143 -1.0 0.0 -1.0
1144 -1.0 0.0 -1.0
1145 8.0 2.0 1.0
1146 10.0 2.0 1.0
1147 -1.0 0.0 -1.0
1148 0.0 2.0 1.0
1149 0.0 2.0 1.0
1150 23.0 3.0 1.0
1151 -1.0 0.0 -1.0
1152 0.0 2.0 1.0
1153 15.0 2.0 1.0
1154 -1.0 0.0 -1.0
1155 22.0 2.0 1.0
1156 26.0 2.0 1.0
1157 24.0 4.0 1.0
1158 15.0 2.0 1.0
1159 0.0 2.0 1.0
1160 0.0 2.0 1.0
1161 -1.0 0.0 -1.0
1162 -1.0 0.0 -1.0
1163 -1.0 0.0 -1.0
1164 23.0 2.0 1.0
1165 15.0 4.0 1.0
1166 10.0 4.0 1.0
1167 24.0 4.0 1.0
1168 0.0 2.0 1.0
1169 0.0 2.0 1.0
1170 -1.0 0.0 -1.0
1171 23.0 3.0 1.0
1172 0.0 2.0 1.0
1173 0.0 2.0 1.0
1174 0.0 2.0 1.0
1175 23.0 3.0 1.0
1176 9.0 1.0 1.0
1177 -1.0 0.0 -1.0
1178 -1.0 0.0 -1.0
1179 11.0 4.0 1.0
1180 26.0 2.0 1.0
1181 18.0 3.0 1.0
1182 -1.0 0.0 -1.0
1183 -1.0 0.0 -1.0
1184 -1.0 0.0 -1.0
1185 18.0 2.0 1.0
1186 10.0 3.0 1.0
1187 16.0 4.0 1.0
1188 -1.0 0.0 -1.0
1189 -1.0 0.0 -1.0
1190 24.0 4.0 1.0
1191 -1.0 0.0 -1.0
1192 17.0 2.0 1.0
1193 -1.0 0.0 -1.0
1194 18.0 2.0 1.0
1195 23.0 3.0 1.0
1196 25.0 2.0 1.0
1197 17.0 4.0 1.0
1198 -1.0 0.0 -1.0
1199 -1.0 0.0 -1.0
1200 -1.0 0.0 -1.0
1201 18.0 3.0 1.0
1202 -1.0 0.0 -1.0
1203 -1.0 0.0 -1.0
1204 -1.0 0.0 -1.0
1205 22.0 2.0 1.0
1206 9.0 1.0 1.0
1207 19.0 4.0 1.0
1208 -1.0 0.0 -1.0
1209 -1.0 0.0 -1.0
1210 10.0 2.0 1.0
1211 -1.0 0.0 -1.0
1212 -1.0 0.0 -1.0
1213 -1.0 0.0 -1.0
1214 16.0 4.0 1.0
1215 23.0 3.0 1.0
1216 -1.0 0.0 -1.0
1217 -1.0 0.0 -1.0
1218 0.0 2.0 1.0
1219 -1.0 0.0 -1.0
1220 0.0 2.0 1.0
1221 8.0 2.0 1.0
1222 15.0 4.0 1.0
1223 -1.0 0.0 -1.0
1224 -1.0 0.0 -1.0
1225 -1.0 0.0 -1.0
1226 10.0 2.0 1.0
1227 -1.0 0.0 -1.0
1228 -1.0 0.0 -1.0
1229 -1.0 0.0 -1.0
1230 10.0 3.0 1.0
1231 -1.0 0.0 -1.0
1232 10.0 3.0 1.0
1233 22.0 2.0 1.0
1234 -1.0 0.0 -1.0
1235 23.0 3.0 1.0
1236 -1.0 0.0 -1.0
1237 0.0 2.0 1.0
1238 -1.0 0.0 -1.0
1239 -1.0 0.0 -1.0
1240 10.0 3.0 1.0
1241 26.0 4.0 1.0
1242 18.0 4.0 1.0
1243 10.0 4.0 1.0
1244 17.0 2.0 1.0
1245 8.0 2.0 1.0
1246 -1.0 0.0 -1.0
1247 -1.0 0.0 -1.0
1248 17.0 2.0 1.0
1249 0.0 2.0 1.0
1250 8.0 2.0 1.0
1251 0.0 2.0 1.0
1252 16.0 4.0 1.0
1253 0.0 2.0 1.0
1254 -1.0 0.0 -1.0
1255 -1.0 0.0 -1.0
1256 -1.0 0.0 -1.0
1257 22.0 4.0 1.0
1258 -1.0 0.0 -1.0
1259 -1.0 0.0 -1.0
1260 10.0 3.0 1.0
1261 0.0 2.0 1.0
1262 -1.0 0.0 -1.0
1263 18.0 3.0 1.0
1264 -1.0 0.0 -1.0
1265 -1.0 0.0 -1.0
1266 -1.0 0.0 -1.0
1267 22.0 2.0 1.0
1268 16.0 4.0 1.0
1269 18.0 2.0 1.0
1270 23.0 3.0 1.0
1271 -1.0 0.0 -1.0
1272 0.0 2.0 1.0
1273 15.0 2.0 1.0
1274 0.0 2.0 1.0
1275 8.0 2.0 1.0
1276 -1.0 0.0 -1.0
1277 10.0 3.0 1.0
1278 -1.0 0.0 -1.0
1279 17.0 2.0 1.0
1280 22.0 4.0 1.0
1281 18.0 2.0 1.0
1282 0.0 2.0 1.0
1283 -1.0 0.0 -1.0
1284 0.0 2.0 1.0
1285 23.0 4.0 1.0
1286 -1.0 0.0 -1.0
1287 0.0 2.0 1.0
1288 -1.0 0.0 -1.0
1289 27.0 4.0 1.0
1290 0.0 2.0 1.0
1291 -1.0 0.0 -1.0
1292 10.0 3.0 1.0
1293 25.0 2.0 1.0
1294 -1.0 0.0 -1.0
1295 8.0 2.0 1.0
1296 -1.0 0.0 -1.0
1297 8.0 4.0 1.0
1298 8.0 2.0 1.0
1299 23.0 2.0 1.0
1300 0.0 2.0 1.0
1301 17.0 4.0 1.0
1302 0.0 2.0 1.0
1303 -1.0 0.0 -1.0
1304 8.0 2.0 1.0
1305 10.0 3.0 1.0
1306 -1.0 0.0 -1.0
1307 23.0 2.0 1.0
1308 19.0 4.0 1.0
1309 -1.0 0.0 -1.0
1310 15.0 2.0 1.0
1311 26.0 4.0 1.0
1312 -1.0 0.0 -1.0
1313 25.0 2.0 1.0
1314 22.0 4.0 1.0
1315 -1.0 0.0 -1.0
1316 0.0 2.0 1.0
1317 -1.0 0.0 -1.0
1318 -1.0 0.0 -1.0
1319 8.0 4.0 1.0
1320 18.0 4.0 1.0
1321 0.0 2.0 1.0
1322 -1.0 0.0 -1.0
1323 -1.0 0.0 -1.0
1324 10.0 4.0 1.0
1325 23.0 2.0 1.0
1326 -1.0 0.0 -1.0
1327 0.0 2.0 1.0
1328 -1.0 0.0 -1.0
1329 -1.0 0.0 -1.0
1330 16.0 4.0 1.0
1331 -1.0 0.0 -1.0
1332 -1.0 0.0 -1.0
1333 18.0 3.0 1.0
1334 -1.0 0.0 -1.0
1335 -1.0 0.0 -1.0
1336 22.0 4.0 1.0
1337 0.0 2.0 1.0
1338 -1.0 0.0 -1.0
1339 -1.0 0.0 -1.0
1340 10.0 3.0 1.0
1341 23.0 3.0 1.0
1342 -1.0 0.0 -1.0
1343 -1.0 0.0 -1.0
1344 0.0 2.0 1.0
1345 9.0 1.0 1.0
1346 -1.0 0.0 -1.0
1347 0.0 2.0 1.0
1348 8.0 2.0 1.0
1349 8.0 2.0 1.0
1350 26.0 4.0 1.0
1351 0.0 2.0 1.0
1352 24.0 4.0 1.0
1353 -1.0 0.0 -1.0
1354 26.0 2.0 1.0
1355 -1.0 0.0 -1.0
1356 15.0 4.0 1.0
1357 -1.0 0.0 -1.0
1358 10.0 3.0 1.0
1359 -1.0 0.0 -1.0
1360 -1.0 0.0 -1.0
1361 23.0 3.0 1.0
1362 -1.0 0.0 -1.0
1363 10.0 3.0 1.0
1364 16.0 4.0 1.0
1365 17.0 2.0 1.0
1366 -1.0 0.0 -1.0
1367 8.0 2.0 1.0
1368 -1.0 0.0 -1.0
1369 0.0 2.0 1.0
1370 -1.0 0.0 -1.0
1371 8.0 2.0 1.0
1372 24.0 4.0 1.0
1373 -1.0 0.0 -1.0
1374 8.0 2.0 1.0
1375 0.0 2.0 1.0
1376 -1.0 0.0 -1.0
1377 15.0 4.0 1.0
1378 25.0 4.0 1.0
1379 22.0 2.0 1.0
1380 -1.0 0.0 -1.0
1381 23.0 3.0 1.0
1382 -1.0 0.0 -1.0
1383 0.0 2.0 1.0
1384 0.0 2.0 1.0
1385 10.0 3.0 1.0
1386 8.0 4.0 1.0
1387 -1.0 0.0 -1.0
1388 0.0 2.0 1.0
1389 -1.0 0.0 -1.0
1390 0.0 2.0 1.0
1391 0.0 2.0 1.0
1392 18.0 3.0 1.0
1393 -1.0 0.0 -1.0
1394 8.0 2.0 1.0
1395 0.0 2.0 1.0
1396 0.0 2.0 1.0
1397 23.0 4.0 1.0
1398 23.0 4.0 1.0
1399 15.0 4.0 1.0
1400 25.0 2.0 1.0
1401 -1.0 0.0 -1.0
1402 16.0 4.0 1.0
1403 -1.0 0.0 -1.0
1404 18.0 3.0 1.0
1405 -1.0 0.0 -1.0
1406 9.0 1.0 1.0
1407 -1.0 0.0 -1.0
1408 23.0 2.0 1.0
1409 25.0 2.0 1.0
1410 0.0 2.0 1.0
1411 -1.0 0.0 -1.0
1412 -1.0 0.0 -1.0
1413 9.0 1.0 1.0
1414 10.0 3.0 1.0
1415 15.0 4.0 1.0
1416 -1.0 0.0 -1.0
1417 15.0 2.0 1.0
1418 -1.0 0.0 -1.0
1419 26.0 4.0 1.0
1420 -1.0 0.0 -1.0
1421 23.0 3.0 1.0
1422 0.0 2.0 1.0
1423 0.0 2.0 1.0
1424 9.0 1.0 1.0
1425 16.0 4.0 1.0
1426 24.0 4.0 1.0
1427 16.0 4.0 1.0
1428 -1.0 0.0 -1.0
1429 11.0 4.0 1.0
1430 -1.0 0.0 -1.0
1431 10.0 3.0 1.0
1432 -1.0 0.0 -1.0
1433 -1.0 0.0 -1.0
1434 -1.0 0.0 -1.0
1435 -1.0 0.0 -1.0
1436 0.0 2.0 1.0
1437 18.0 3.0 1.0
1438 -1.0 0.0 -1.0
1439 23.0 3.0 1.0
1440 9.0 1.0 1.0
1441 8.0 2.0 1.0
1442 -1.0 0.0 -1.0
1443 15.0 2.0 1.0
1444 -1.0 0.0 -1.0
1445 -1.0 0.0 -1.0
1446 27.0 4.0 1.0
1447 0.0 2.0 1.0
1448 -1.0 0.0 -1.0
1449 23.0 2.0 1.0
1450 -1.0 0.0 -1.0
1451 22.0 4.0 1.0
1452 -1.0 0.0 -1.0
1453 -1.0 0.0 -1.0
1454 9.0 1.0 1.0
1455 -1.0 0.0 -1.0
1456 0.0 2.0 1.0
1457 15.0 4.0 1.0
1458 15.0 2.0 1.0
1459 10.0 3.0 1.0
1460 -1.0 0.0 -1.0
1461 -1.0 0.0 -1.0
1462 -1.0 0.0 -1.0
1463 26.0 2.0 1.0
1464 -1.0 0.0 -1.0
1465 -1.0 0.0 -1.0
1466 -1.0 0.0 -1.0
1467 -1.0 0.0 -1.0
1468 18.0 2.0 1.0
1469 23.0 2.0 1.0
1470 25.0 2.0 1.0
1471 18.0 3.0 1.0
1472 -1.0 0.0 -1.0
1473 -1.0 0.0 -1.0
1474 -1.0 0.0 -1.0
1475 0.0 2.0 1.0
1476 -1.0 0.0 -1.0
1477 -1.0 0.0 -1.0
1478 0.0 2.0 1.0
1479 0.0 2.0 1.0
1480 0.0 2.0 1.0
1481 0.0 2.0 1.0
1482 -1.0 0.0 -1.0
1483 10.0 2.0 1.0
1484 0.0 2.0 1.0
1485 23.0 3.0 1.0
1486 15.0 2.0 1.0
1487 -1.0 0.0 -1.0
1488 16.0 4.0 1.0
1489 -1.0 0.0 -1.0
1490 23.0 3.0 1.0
1491 -1.0 0.0 -1.0
1492 16.0 4.0 1.0
1493 -1.0 0.0 -1.0
1494 18.0 3.0 1.0
1495 -1.0 0.0 -1.0
1496 -1.0 0.0 -1.0
1497 18.0 3.0 1.0
1498 -1.0 0.0 -1.0
1499 10.0 2.0 1.0
1500 -1.0 0.0 -1.0
1501 0.0 2.0 1.0
1502 0.0 2.0 1.0
1503 -1.0 0.0 -1.0
1504 -1.0 0.0 -1.0
1505 16.0 4.0 1.0
1506 9.0 1.0 1.0
1507 10.0 3.0 1.0
1508 23.0 2.0 1.0
1509 -1.0 0.0 -1.0
1510 10.0 3.0 1.0
1511 22.0 4.0 1.0
1512 -1.0 0.0 -1.0
1513 0.0 2.0 1.0
1514 10.0 3.0 1.0
1515 23.0 3.0 1.0
1516 -1.0 0.0 -1.0
1517 8.0 2.0 1.0
1518 0.0 2.0 1.0
1519 -1.0 0.0 -1.0
1520 -1.0 0.0 -1.0
1521 -1.0 0.0 -1.0
1522 0.0 2.0 1.0
1523 -1.0 0.0 -1.0
1524 22.0 2.0 1.0
1525 8.0 2.0 1.0
1526 -1.0 0.0 -1.0
1527 -1.0 0.0 -1.0
1528 -1.0 0.0 -1.0
1529 10.0 3.0 1.0
1530 18.0 3.0 1.0
1531 12.0 4.0 1.0
1532 9.0 1.0 1.0
1533 9.0 1.0 1.0
1534 -1.0 0.0 -1.0
1535 17.0 2.0 1.0
1536 24.0 4.0 1.0
1537 -1.0 0.0 -1.0
1538 0.0 2.0 1.0
1539 -1.0 0.0 -1.0
1540 8.0 2.0 1.0
1541 25.0 2.0 1.0
1542 18.0 3.0 1.0
1543 22.0 2.0 1.0
1544 -1.0 0.0 -1.0
1545 0.0 2.0 1.0
1546 -1.0 0.0 -1.0
1547 -1.0 0.0 -1.0
1548 -1.0 0.0 -1.0
1549 -1.0 0.0 -1.0
1550 22.0 4.0 1.0
1551 -1.0 0.0 -1.0
1552 0.0 2.0 1.0
1553 10.0 2.0 1.0
1554 9.0 1.0 1.0
1555 -1.0 0.0 -1.0
1556 25.0 2.0 1.0
1557 -1.0 0.0 -1.0
1558 23.0 3.0 1.0
1559 -1.0 0.0 -1.0
1560 9.0 1.0 1.0
1561 -1.0 0.0 -1.0
1562 18.0 2.0 1.0
1563 -1.0 0.0 -1.0
1564 -1.0 0.0 -1.0
1565 -1.0 0.0 -1.0
1566 -1.0 0.0 -1.0
1567 -1.0 0.0 -1.0
1568 -1.0 0.0 -1.0
1569 17.0 2.0 1.0
1570 8.0 2.0 1.0
1571 0.0 2.0 1.0
1572 -1.0 0.0 -1.0
1573 9.0 1.0 1.0
1574 -1.0 0.0 -1.0
1575 0.0 2.0 1.0
1576 0.0 2.0 1.0
1577 23.0 2.0 1.0
1578 23.0 2.0 1.0
1579 15.0 4.0 1.0
1580 10.0 2.0 1.0
1581 -1.0 0.0 -1.0
1582 9.0 1.0 1.0
1583 0.0 2.0 1.0
1584 0.0 2.0 1.0
1585 -1.0 0.0 -1.0
1586 -1.0 0.0 -1.0
1587 -1.0 0.0 -1.0
1588 9.0 1.0 1.0
1589 -1.0 0.0 -1.0
1590 10.0 3.0 1.0
1591 -1.0 0.0 -1.0
1592 17.0 2.0 1.0
1593 18.0 3.0 1.0
1594 8.0 2.0 1.0
1595 0.0 2.0 1.0
1596 10.0 3.0 1.0
1597 10.0 3.0 1.0
1598 18.0 3.0 1.0
1599 0.0 2.0 1.0
1600 0.0 2.0 1.0
1601 -1.0 0.0 -1.0
1602 23.0 2.0 1.0
1603 26.0 4.0 1.0
1604 -1.0 0.0 -1.0
1605 15.0 4.0 1.0
1606 -1.0 0.0 -1.0
1607 10.0 3.0 1.0
1608 25.0 2.0 1.0
1609 -1.0 0.0 -1.0
1610 10.0 3.0 1.0
1611 0.0 2.0 1.0
1612 10.0 2.0 1.0
1613 -1.0 0.0 -1.0
1614 8.0 2.0 1.0
1615 9.0 1.0 1.0
1616 8.0 2.0 1.0
1617 18.0 3.0 1.0
1618 17.0 4.0 1.0
1619 -1.0 0.0 -1.0
1620 -1.0 0.0 -1.0
1621 -1.0 0.0 -1.0
1622 10.0 3.0 1.0
1623 0.0 2.0 1.0
1624 23.0 3.0 1.0
1625 15.0 4.0 1.0
1626 -1.0 0.0 -1.0
1627 -1.0 0.0 -1.0
1628 26.0 2.0 1.0
1629 -1.0 0.0 -1.0
1630 0.0 2.0 1.0
1631 -1.0 0.0 -1.0
1632 26.0 2.0 1.0
1633 23.0 2.0 1.0
1634 -1.0 0.0 -1.0
1635 -1.0 0.0 -1.0
1636 -1.0 0.0 -1.0
1637 -1.0 0.0 -1.0
1638 -1.0 0.0 -1.0
1639 0.0 2.0 1.0
1640 0.0 2.0 1.0
1641 -1.0 0.0 -1.0
1642 0.0 2.0 1.0
1643 18.0 2.0 1.0
1644 -1.0 0.0 -1.0
1645 22.0 2.0 1.0
1646 0.0 2.0 1.0
1647 -1.0 0.0 -1.0
1648 24.0 4.0 1.0
1649 23.0 3.0 1.0
1650 -1.0 0.0 -1.0
1651 -1.0 0.0 -1.0
1652 15.0 4.0 1.0
1653 0.0 2.0 1.0
1654 22.0 4.0 1.0
1655 -1.0 0.0 -1.0
1656 15.0 2.0 1.0
1657 8.0 2.0 1.0
1658 -1.0 0.0 -1.0
1659 18.0 3.0 1.0
1660 10.0 3.0 1.0
1661 17.0 2.0 1.0
1662 -1.0 0.0 -1.0
1663 0.0 2.0 1.0
1664 9.0 1.0 1.0
1665 -1.0 0.0 -1.0
1666 -1.0 0.0 -1.0
1667 -1.0 0.0 -1.0
1668 -1.0 0.0 -1.0
1669 15.0 2.0 1.0
1670 10.0 2.0 1.0
1671 -1.0 0.0 -1.0
1672 23.0 2.0 1.0
1673 23.0 4.0 1.0
1674 -1.0 0.0 -1.0
1675 15.0 4.0 1.0
1676 8.0 2.0 1.0
1677 16.0 4.0 1.0
1678 -1.0 0.0 -1.0
1679 -1.0 0.0 -1.0
1680 -1.0 0.0 -1.0
1681 15.0 2.0 1.0
1682 8.0 2.0 1.0
1683 -1.0 0.0 -1.0
1684 0.0 2.0 1.0
1685 0.0 2.0 1.0
1686 -1.0 0.0 -1.0
1687 22.0 2.0 1.0
1688 0.0 2.0 1.0
1689 -1.0 0.0 -1.0
1690 0.0 2.0 1.0
1691 15.0 2.0 1.0
1692 22.0 4.0 1.0
1693 26.0 4.0 1.0
1694 23.0 4.0 1.0
1695 10.0 3.0 1.0
1696 0.0 2.0 1.0
1697 -1.0 0.0 -1.0
1698 0.0 2.0 1.0
1699 0.0 2.0 1.0
1700 10.0 4.0 1.0
1701 17.0 4.0 1.0
1702 25.0 2.0 1.0
1703 -1.0 0.0 -1.0
1704 0.0 2.0 1.0
1705 23.0 3.0 1.0
1706 15.0 2.0 1.0
1707 -1.0 0.0 -1.0
1708 15.0 2.0 1.0
1709 -1.0 0.0 -1.0
1710 26.0 4.0 1.0
1711 -1.0 0.0 -1.0
1712 10.0 3.0 1.0
1713 -1.0 0.0 -1.0
1714 10.0 3.0 1.0
1715 -1.0 0.0 -1.0
1716 23.0 2.0 1.0
1717 17.0 2.0 1.0
1718 0.0 2.0 1.0
1719 -1.0 0.0 -1.0
1720 15.0 4.0 1.0
1721 9.0 1.0 1.0
1722 17.0 2.0 1.0
1723 -1.0 0.0 -1.0
1724 22.0 4.0 1.0
1725 10.0 2.0 1.0
1726 -1.0 0.0 -1.0
1727 8.0 2.0 1.0
1728 18.0 3.0 1.0
1729 -1.0 0.0 -1.0
1730 -1.0 0.0 -1.0
1731 -1.0 0.0 -1.0
1732 0.0 2.0 1.0
1733 0.0 2.0 1.0
1734 23.0 3.0 1.0
1735 -1.0 0.0 -1.0
1736 0.0 2.0 1.0
1737 16.0 4.0 1.0
1738 -1.0 0.0 -1.0
1739 -1.0 0.0 -1.0
1740 -1.0 0.0 -1.0
1741 10.0 2.0 1.0
1742 0.0 2.0 1.0
1743 -1.0 0.0 -1.0
1744 17.0 2.0 1.0
1745 18.0 2.0 1.0
1746 -1.0 0.0 -1.0
1747 22.0 2.0 1.0
1748 18.0 3.0 1.0
1749 -1.0 0.0 -1.0
1750 11.0 4.0 1.0
1751 0.0 2.0 1.0
1752 0.0 2.0 1.0
1753 -1.0 0.0 -1.0
1754 8.0 4.0 1.0
1755 18.0 2.0 1.0
1756 -1.0 0.0 -1.0
1757 26.0 2.0 1.0
1758 0.0 2.0 1.0
1759 10.0 3.0 1.0
1760 -1.0 0.0 -1.0
1761 0.0 2.0 1.0
1762 -1.0 0.0 -1.0
1763 -1.0 0.0 -1.0
1764 22.0 2.0 1.0
1765 0.0 2.0 1.0
1766 9.0 1.0 1.0
1767 15.0 2.0 1.0
1768 11.0 4.0 1.0
1769 0.0 2.0 1.0
1770 23.0 2.0 1.0
1771 -1.0 0.0 -1.0
1772 0.0 2.0 1.0
1773 0.0 2.0 1.0
1774 23.0 3.0 1.0
1775 18.0 3.0 1.0
1776 23.0 3.0 1.0
1777 23.0 4.0 1.0
1778 10.0 3.0 1.0
1779 17.0 2.0 1.0
1780 17.0 4.0 1.0
1781 24.0 4.0 1.0
1782 -1.0 0.0 -1.0
1783 -1.0 0.0 -1.0
1784 18.0 4.0 1.0
1785 -1.0 0.0 -1.0
1786 -1.0 0.0 -1.0
1787 9.0 1.0 1.0
1788 -1.0 0.0 -1.0
1789 22.0 2.0 1.0
1790 0.0 2.0 1.0
1791 -1.0 0.0 -1.0
1792 -1.0 0.0 -1.0
1793 -1.0 0.0 -1.0
1794 -1.0 0.0 -1.0
1795 11.0 4.0 1.0
1796 23.0 4.0 1.0
1797 22.0 2.0 1.0
1798 -1.0 0.0 -1.0
1799 17.0 4.0 1.0
1800 -1.0 0.0 -1.0
1801 -1.0 0.0 -1.0
1802 22.0 2.0 1.0
1803 -1.0 0.0 -1.0
1804 10.0 4.0 1.0
1805 15.0 2.0 1.0
1806 -1.0 0.0 -1.0
1807 15.0 2.0 1.0
1808 10.0 3.0 1.0
1809 23.0 4.0 1.0
1810 0.0 2.0 1.0
1811 17.0 2.0 1.0
1812 -1.0 0.0 -1.0
1813 0.0 2.0 1.0
1814 10.0 3.0 1.0
1815 -1.0 0.0 -1.0
1816 -1.0 0.0 -1.0
1817 23.0 2.0 1.0
1818 -1.0 0.0 -1.0
1819 -1.0 0.0 -1.0
1820 -1.0 0.0 -1.0
1821 -1.0 0.0 -1.0
1822 0.0 2.0 1.0
1823 10.0 3.0 1.0
1824 -1.0 0.0 -1.0
1825 0.0 2.0 1.0
1826 15.0 2.0 1.0
1827 15.0 2.0 1.0
1828 -1.0 0.0 -1.0
1829 0.0 2.0 1.0
1830 -1.0 0.0 -1.0
1831 22.0 2.0 1.0
1832 10.0 3.0 1.0
1833 16.0 4.0 1.0
1834 18.0 2.0 1.0
1835 0.0 2.0 1.0
1836 -1.0 0.0 -1.0
1837 -1.0 0.0 -1.0
